Ee-scaffold615.g1	scaffold615.g1.t1
Ee-scaffold1736.g18	scaffold1736.g18.t1
Ee-scaffold1736.g19	scaffold1736.g19.t1
Ee-scaffold4189.g1	scaffold4189.g1.t1
Ee-scaffold4189.g1	scaffold4189.g1.t2
Ee-scaffold4189.g2	scaffold4189.g2.t1
Ee-scaffold4189.g3	scaffold4189.g3.t1
Ee-scaffold4189.g3	scaffold4189.g3.t2
Ee-scaffold4189.g4	scaffold4189.g4.t1
Ee-scaffold4189.g5	scaffold4189.g5.t1
Ee-scaffold4189.g5	scaffold4189.g5.t2
Ee-scaffold4189.g6	scaffold4189.g6.t1
Ee-scaffold8294.g1	scaffold8294.g1.t1
Ee-scaffold8294.g1	scaffold8294.g1.t2
Ee-scaffold8294.g2	scaffold8294.g2.t1
Ee-scaffold8294.g3	scaffold8294.g3.t1
Ee-scaffold8294.g4	scaffold8294.g4.t1
Ee-scaffold8294.g4	scaffold8294.g4.t2
Ee-scaffold8294.g5	scaffold8294.g5.t1
Ee-scaffold8294.g5	scaffold8294.g5.t2
Ee-scaffold8294.g5	scaffold8294.g5.t3
Ee-scaffold8294.g6	scaffold8294.g6.t1
Ee-scaffold8294.g6	scaffold8294.g6.t2
Ee-scaffold8294.g6	scaffold8294.g6.t3
Ee-scaffold8294.g6	scaffold8294.g6.t4
Ee-scaffold8294.g7	scaffold8294.g7.t1
Ee-scaffold8294.g8	scaffold8294.g8.t1
Ee-scaffold8294.g9	scaffold8294.g9.t1
Ee-scaffold8294.g10	scaffold8294.g10.t1
Ee-scaffold8294.g11	scaffold8294.g11.t1
Ee-scaffold8294.g12	scaffold8294.g12.t1
Ee-scaffold8294.g13	scaffold8294.g13.t1
Ee-scaffold8294.g13	scaffold8294.g13.t2
Ee-scaffold8294.g14	scaffold8294.g14.t1
Ee-scaffold8294.g15	scaffold8294.g15.t1
Ee-scaffold8294.g16	scaffold8294.g16.t1
Ee-scaffold8294.g17	scaffold8294.g17.t1
Ee-scaffold8294.g18	scaffold8294.g18.t1
Ee-scaffold8294.g18	scaffold8294.g18.t2
Ee-scaffold8294.g19	scaffold8294.g19.t1
Ee-scaffold8294.g20	scaffold8294.g20.t1
Ee-scaffold8294.g21	scaffold8294.g21.t1
Ee-scaffold337.g1	scaffold337.g1.t1
Ee-scaffold337.g2	scaffold337.g2.t1
Ee-scaffold337.g3	scaffold337.g3.t1
Ee-scaffold337.g4	scaffold337.g4.t1
Ee-scaffold337.g4	scaffold337.g4.t2
Ee-scaffold337.g5	scaffold337.g5.t1
Ee-scaffold337.g5	scaffold337.g5.t2
Ee-scaffold337.g5	scaffold337.g5.t3
Ee-scaffold337.g6	scaffold337.g6.t1
Ee-scaffold337.g7	scaffold337.g7.t1
Ee-scaffold337.g8	scaffold337.g8.t1
Ee-scaffold337.g9	scaffold337.g9.t1
Ee-scaffold337.g9	scaffold337.g9.t2
Ee-scaffold337.g10	scaffold337.g10.t1
Ee-scaffold337.g10	scaffold337.g10.t2
Ee-scaffold337.g11	scaffold337.g11.t1
Ee-scaffold337.g12	scaffold337.g12.t1
Ee-scaffold337.g13	scaffold337.g13.t1
Ee-scaffold337.g13	scaffold337.g13.t2
Ee-scaffold3848.g1	scaffold3848.g1.t1
Ee-scaffold3848.g1	scaffold3848.g1.t2
Ee-scaffold3848.g1	scaffold3848.g1.t3
Ee-scaffold3848.g2	scaffold3848.g2.t1
Ee-scaffold3848.g3	scaffold3848.g3.t1
Ee-scaffold3848.g3	scaffold3848.g3.t2
Ee-scaffold3848.g4	scaffold3848.g4.t1
Ee-scaffold3848.g5	scaffold3848.g5.t1
Ee-scaffold3848.g6	scaffold3848.g6.t1
Ee-scaffold3848.g7	scaffold3848.g7.t1
Ee-scaffold3848.g8	scaffold3848.g8.t1
Ee-scaffold3848.g9	scaffold3848.g9.t1
Ee-scaffold3848.g9	scaffold3848.g9.t2
Ee-scaffold3848.g10	scaffold3848.g10.t1
Ee-scaffold3848.g11	scaffold3848.g11.t1
Ee-scaffold3848.g12	scaffold3848.g12.t1
Ee-scaffold3848.g13	scaffold3848.g13.t1
Ee-scaffold3848.g13	scaffold3848.g13.t2
Ee-scaffold3848.g14	scaffold3848.g14.t1
Ee-scaffold3848.g15	scaffold3848.g15.t1
Ee-scaffold3848.g15	scaffold3848.g15.t2
Ee-scaffold3848.g16	scaffold3848.g16.t1
Ee-scaffold3848.g17	scaffold3848.g17.t1
Ee-scaffold3848.g18	scaffold3848.g18.t1
Ee-scaffold3848.g19	scaffold3848.g19.t1
Ee-scaffold3848.g19	scaffold3848.g19.t2
Ee-scaffold3848.g19	scaffold3848.g19.t3
Ee-scaffold3848.g20	scaffold3848.g20.t1
Ee-scaffold3848.g21	scaffold3848.g21.t1
Ee-scaffold3848.g22	scaffold3848.g22.t1
Ee-scaffold16773.g1	scaffold16773.g1.t1
Ee-scaffold16773.g2	scaffold16773.g2.t1
Ee-scaffold16773.g2	scaffold16773.g2.t2
Ee-scaffold16773.g3	scaffold16773.g3.t1
Ee-scaffold16773.g4	scaffold16773.g4.t1
Ee-scaffold16773.g5	scaffold16773.g5.t1
Ee-scaffold16773.g6	scaffold16773.g6.t1
Ee-scaffold16773.g6	scaffold16773.g6.t2
Ee-scaffold16773.g6	scaffold16773.g6.t3
Ee-scaffold16773.g7	scaffold16773.g7.t1
Ee-scaffold16773.g8	scaffold16773.g8.t1
Ee-scaffold16773.g8	scaffold16773.g8.t2
Ee-scaffold16773.g9	scaffold16773.g9.t1
Ee-scaffold16773.g9	scaffold16773.g9.t2
Ee-scaffold16773.g10	scaffold16773.g10.t1
Ee-scaffold16773.g10	scaffold16773.g10.t2
Ee-scaffold16773.g10	scaffold16773.g10.t3
Ee-scaffold1441.g1	scaffold1441.g1.t1
Ee-scaffold1441.g1	scaffold1441.g1.t2
Ee-scaffold1441.g2	scaffold1441.g2.t1
Ee-scaffold1441.g3	scaffold1441.g3.t1
Ee-scaffold1441.g4	scaffold1441.g4.t1
Ee-scaffold1441.g5	scaffold1441.g5.t1
Ee-scaffold1441.g5	scaffold1441.g5.t2
Ee-scaffold1441.g6	scaffold1441.g6.t1
Ee-scaffold1441.g6	scaffold1441.g6.t2
Ee-scaffold1441.g6	scaffold1441.g6.t3
Ee-scaffold1441.g6	scaffold1441.g6.t4
Ee-scaffold1441.g6	scaffold1441.g6.t5
Ee-scaffold1441.g7	scaffold1441.g7.t1
Ee-scaffold1441.g8	scaffold1441.g8.t1
Ee-scaffold1441.g9	scaffold1441.g9.t1
Ee-scaffold1441.g10	scaffold1441.g10.t1
Ee-scaffold1441.g11	scaffold1441.g11.t1
Ee-scaffold1441.g11	scaffold1441.g11.t2
Ee-scaffold1441.g12	scaffold1441.g12.t1
Ee-scaffold1441.g12	scaffold1441.g12.t2
Ee-scaffold1441.g12	scaffold1441.g12.t3
Ee-scaffold1441.g13	scaffold1441.g13.t1
Ee-scaffold1441.g14	scaffold1441.g14.t1
Ee-scaffold1441.g14	scaffold1441.g14.t2
Ee-scaffold1441.g15	scaffold1441.g15.t1
Ee-scaffold1441.g16	scaffold1441.g16.t1
Ee-scaffold1441.g17	scaffold1441.g17.t1
Ee-scaffold1441.g18	scaffold1441.g18.t1
Ee-scaffold1441.g19	scaffold1441.g19.t1
Ee-scaffold1441.g20	scaffold1441.g20.t1
Ee-scaffold1441.g20	scaffold1441.g20.t2
Ee-scaffold1441.g20	scaffold1441.g20.t3
Ee-scaffold1441.g20	scaffold1441.g20.t4
Ee-scaffold1441.g20	scaffold1441.g20.t5
Ee-scaffold1441.g21	scaffold1441.g21.t1
Ee-scaffold1441.g21	scaffold1441.g21.t2
Ee-scaffold1441.g22	scaffold1441.g22.t1
Ee-scaffold1441.g22	scaffold1441.g22.t2
Ee-scaffold1441.g23	scaffold1441.g23.t1
Ee-scaffold3380.g1	scaffold3380.g1.t1
Ee-scaffold3380.g2	scaffold3380.g2.t1
Ee-scaffold3380.g2	scaffold3380.g2.t2
Ee-scaffold3380.g2	scaffold3380.g2.t3
Ee-scaffold3380.g2	scaffold3380.g2.t4
Ee-scaffold3380.g3	scaffold3380.g3.t1
Ee-scaffold3380.g4	scaffold3380.g4.t1
Ee-scaffold3380.g5	scaffold3380.g5.t1
Ee-scaffold3380.g6	scaffold3380.g6.t1
Ee-scaffold3380.g6	scaffold3380.g6.t2
Ee-scaffold3380.g7	scaffold3380.g7.t1
Ee-scaffold3380.g8	scaffold3380.g8.t1
Ee-scaffold3380.g9	scaffold3380.g9.t1
Ee-scaffold3380.g9	scaffold3380.g9.t2
Ee-scaffold3380.g9	scaffold3380.g9.t3
Ee-scaffold3380.g10	scaffold3380.g10.t1
Ee-scaffold3380.g11	scaffold3380.g11.t1
Ee-scaffold3380.g12	scaffold3380.g12.t1
Ee-scaffold3380.g13	scaffold3380.g13.t1
Ee-scaffold734.g1	scaffold734.g1.t1
Ee-scaffold734.g2	scaffold734.g2.t1
Ee-scaffold734.g3	scaffold734.g3.t1
Ee-scaffold734.g4	scaffold734.g4.t1
Ee-scaffold734.g5	scaffold734.g5.t1
Ee-scaffold734.g5	scaffold734.g5.t2
Ee-scaffold734.g6	scaffold734.g6.t1
Ee-scaffold734.g7	scaffold734.g7.t1
Ee-scaffold734.g8	scaffold734.g8.t1
Ee-scaffold734.g9	scaffold734.g9.t1
Ee-scaffold734.g10	scaffold734.g10.t1
Ee-scaffold734.g11	scaffold734.g11.t1
Ee-scaffold734.g12	scaffold734.g12.t1
Ee-scaffold734.g13	scaffold734.g13.t1
Ee-scaffold734.g14	scaffold734.g14.t1
Ee-scaffold734.g15	scaffold734.g15.t1
Ee-scaffold734.g16	scaffold734.g16.t1
Ee-scaffold4001.g1	scaffold4001.g1.t1
Ee-scaffold4001.g2	scaffold4001.g2.t1
Ee-scaffold4001.g3	scaffold4001.g3.t1
Ee-scaffold4001.g3	scaffold4001.g3.t2
Ee-scaffold4001.g4	scaffold4001.g4.t1
Ee-scaffold4001.g5	scaffold4001.g5.t1
Ee-scaffold3014.g1	scaffold3014.g1.t1
Ee-scaffold3014.g2	scaffold3014.g2.t1
Ee-scaffold3014.g3	scaffold3014.g3.t1
Ee-scaffold3014.g4	scaffold3014.g4.t1
Ee-scaffold3014.g5	scaffold3014.g5.t1
Ee-scaffold3014.g5	scaffold3014.g5.t2
Ee-scaffold3014.g6	scaffold3014.g6.t1
Ee-scaffold3014.g7	scaffold3014.g7.t1
Ee-scaffold3014.g8	scaffold3014.g8.t1
Ee-scaffold3014.g8	scaffold3014.g8.t2
Ee-scaffold3014.g8	scaffold3014.g8.t3
Ee-scaffold3014.g9	scaffold3014.g9.t1
Ee-scaffold3014.g10	scaffold3014.g10.t1
Ee-scaffold3014.g11	scaffold3014.g11.t1
Ee-scaffold7849.g1	scaffold7849.g1.t1
Ee-scaffold7849.g2	scaffold7849.g2.t1
Ee-scaffold7849.g2	scaffold7849.g2.t2
Ee-scaffold7849.g3	scaffold7849.g3.t1
Ee-scaffold1806.g1	scaffold1806.g1.t1
Ee-scaffold1806.g1	scaffold1806.g1.t2
Ee-scaffold1806.g2	scaffold1806.g2.t1
Ee-scaffold1806.g3	scaffold1806.g3.t1
Ee-scaffold1806.g4	scaffold1806.g4.t1
Ee-scaffold1806.g5	scaffold1806.g5.t1
Ee-scaffold1806.g6	scaffold1806.g6.t1
Ee-scaffold1806.g7	scaffold1806.g7.t1
Ee-scaffold1806.g8	scaffold1806.g8.t1
Ee-scaffold1806.g9	scaffold1806.g9.t1
Ee-scaffold1806.g10	scaffold1806.g10.t1
Ee-scaffold1806.g11	scaffold1806.g11.t1
Ee-scaffold1806.g12	scaffold1806.g12.t1
Ee-scaffold1806.g12	scaffold1806.g12.t2
Ee-scaffold1806.g12	scaffold1806.g12.t3
Ee-scaffold1806.g13	scaffold1806.g13.t1
Ee-scaffold1806.g13	scaffold1806.g13.t2
Ee-scaffold1806.g13	scaffold1806.g13.t3
Ee-scaffold1806.g14	scaffold1806.g14.t1
Ee-scaffold1806.g14	scaffold1806.g14.t2
Ee-scaffold1806.g15	scaffold1806.g15.t1
Ee-scaffold1806.g15	scaffold1806.g15.t2
Ee-scaffold1806.g16	scaffold1806.g16.t1
Ee-scaffold4592.g1	scaffold4592.g1.t1
Ee-scaffold4592.g2	scaffold4592.g2.t1
Ee-scaffold4592.g3	scaffold4592.g3.t1
Ee-scaffold4592.g3	scaffold4592.g3.t2
Ee-scaffold4592.g3	scaffold4592.g3.t3
Ee-scaffold4592.g4	scaffold4592.g4.t1
Ee-scaffold4592.g4	scaffold4592.g4.t2
Ee-scaffold4592.g5	scaffold4592.g5.t1
Ee-scaffold4592.g6	scaffold4592.g6.t1
Ee-scaffold4592.g7	scaffold4592.g7.t1
Ee-scaffold4592.g8	scaffold4592.g8.t1
Ee-scaffold4592.g9	scaffold4592.g9.t1
Ee-scaffold4592.g10	scaffold4592.g10.t1
Ee-scaffold4592.g11	scaffold4592.g11.t1
Ee-scaffold4592.g12	scaffold4592.g12.t1
Ee-scaffold2322.g1	scaffold2322.g1.t1
Ee-scaffold2322.g2	scaffold2322.g2.t1
Ee-scaffold2322.g3	scaffold2322.g3.t1
Ee-scaffold2322.g3	scaffold2322.g3.t2
Ee-scaffold2322.g4	scaffold2322.g4.t1
Ee-scaffold2322.g5	scaffold2322.g5.t1
Ee-scaffold2322.g5	scaffold2322.g5.t2
Ee-scaffold2322.g5	scaffold2322.g5.t3
Ee-scaffold2322.g6	scaffold2322.g6.t1
Ee-scaffold2322.g6	scaffold2322.g6.t2
Ee-scaffold2322.g6	scaffold2322.g6.t3
Ee-scaffold2322.g6	scaffold2322.g6.t4
Ee-scaffold2322.g7	scaffold2322.g7.t1
Ee-scaffold2322.g8	scaffold2322.g8.t1
Ee-scaffold2322.g9	scaffold2322.g9.t1
Ee-scaffold2322.g9	scaffold2322.g9.t2
Ee-scaffold2322.g9	scaffold2322.g9.t3
Ee-scaffold2322.g10	scaffold2322.g10.t1
Ee-scaffold2322.g10	scaffold2322.g10.t2
Ee-scaffold2322.g10	scaffold2322.g10.t3
Ee-scaffold2322.g10	scaffold2322.g10.t4
Ee-scaffold2322.g10	scaffold2322.g10.t5
Ee-scaffold2322.g10	scaffold2322.g10.t6
Ee-scaffold6030.g1	scaffold6030.g1.t1
Ee-scaffold6030.g2	scaffold6030.g2.t1
Ee-scaffold6030.g3	scaffold6030.g3.t1
Ee-scaffold6030.g4	scaffold6030.g4.t1
Ee-scaffold6030.g4	scaffold6030.g4.t2
Ee-scaffold6030.g4	scaffold6030.g4.t3
Ee-scaffold6030.g4	scaffold6030.g4.t4
Ee-scaffold6030.g5	scaffold6030.g5.t1
Ee-scaffold6030.g5	scaffold6030.g5.t2
Ee-scaffold6030.g5	scaffold6030.g5.t3
Ee-scaffold6030.g6	scaffold6030.g6.t1
Ee-scaffold6030.g7	scaffold6030.g7.t1
Ee-scaffold6030.g7	scaffold6030.g7.t2
Ee-scaffold6030.g8	scaffold6030.g8.t1
Ee-scaffold6030.g9	scaffold6030.g9.t1
Ee-scaffold6030.g10	scaffold6030.g10.t1
Ee-scaffold6030.g11	scaffold6030.g11.t1
Ee-scaffold6030.g11	scaffold6030.g11.t2
Ee-scaffold6030.g11	scaffold6030.g11.t3
Ee-scaffold6030.g11	scaffold6030.g11.t4
Ee-scaffold4087.g1	scaffold4087.g1.t1
Ee-scaffold4087.g2	scaffold4087.g2.t1
Ee-scaffold4087.g3	scaffold4087.g3.t1
Ee-scaffold4087.g4	scaffold4087.g4.t1
Ee-scaffold4087.g5	scaffold4087.g5.t1
Ee-scaffold4087.g6	scaffold4087.g6.t1
Ee-scaffold4087.g7	scaffold4087.g7.t1
Ee-scaffold4087.g7	scaffold4087.g7.t2
Ee-scaffold4087.g7	scaffold4087.g7.t3
Ee-scaffold4087.g7	scaffold4087.g7.t4
Ee-scaffold4087.g8	scaffold4087.g8.t1
Ee-scaffold4087.g8	scaffold4087.g8.t2
Ee-scaffold4087.g9	scaffold4087.g9.t1
Ee-scaffold4087.g10	scaffold4087.g10.t1
Ee-scaffold4087.g10	scaffold4087.g10.t2
Ee-scaffold4087.g11	scaffold4087.g11.t1
Ee-scaffold4087.g12	scaffold4087.g12.t1
Ee-scaffold4087.g12	scaffold4087.g12.t2
Ee-scaffold4087.g13	scaffold4087.g13.t1
Ee-scaffold4087.g14	scaffold4087.g14.t1
Ee-scaffold4087.g15	scaffold4087.g15.t1
Ee-scaffold4087.g15	scaffold4087.g15.t2
Ee-scaffold4087.g15	scaffold4087.g15.t3
Ee-scaffold4087.g15	scaffold4087.g15.t4
Ee-scaffold4087.g16	scaffold4087.g16.t1
Ee-scaffold4087.g16	scaffold4087.g16.t2
Ee-scaffold4087.g16	scaffold4087.g16.t3
Ee-scaffold4087.g17	scaffold4087.g17.t1
Ee-scaffold4087.g17	scaffold4087.g17.t2
Ee-scaffold1264.g1	scaffold1264.g1.t1
Ee-scaffold1264.g2	scaffold1264.g2.t1
Ee-scaffold1264.g3	scaffold1264.g3.t1
Ee-scaffold1264.g3	scaffold1264.g3.t2
Ee-scaffold1264.g3	scaffold1264.g3.t3
Ee-scaffold1264.g4	scaffold1264.g4.t1
Ee-scaffold1264.g4	scaffold1264.g4.t2
Ee-scaffold1264.g5	scaffold1264.g5.t1
Ee-scaffold1264.g6	scaffold1264.g6.t1
Ee-scaffold1264.g7	scaffold1264.g7.t1
Ee-scaffold10.g1	scaffold10.g1.t1
Ee-scaffold10.g2	scaffold10.g2.t1
Ee-scaffold10.g3	scaffold10.g3.t1
Ee-scaffold10.g3	scaffold10.g3.t2
Ee-scaffold10.g4	scaffold10.g4.t1
Ee-scaffold10.g5	scaffold10.g5.t1
Ee-scaffold10.g6	scaffold10.g6.t1
Ee-scaffold10.g6	scaffold10.g6.t2
Ee-scaffold10.g7	scaffold10.g7.t1
Ee-scaffold10.g8	scaffold10.g8.t1
Ee-scaffold10.g9	scaffold10.g9.t1
Ee-scaffold10.g10	scaffold10.g10.t1
Ee-scaffold10.g10	scaffold10.g10.t2
Ee-scaffold10.g11	scaffold10.g11.t1
Ee-scaffold10.g11	scaffold10.g11.t2
Ee-scaffold10.g12	scaffold10.g12.t1
Ee-scaffold10.g12	scaffold10.g12.t2
Ee-scaffold10.g12	scaffold10.g12.t3
Ee-scaffold10.g13	scaffold10.g13.t1
Ee-scaffold1817.g1	scaffold1817.g1.t1
Ee-scaffold1817.g1	scaffold1817.g1.t2
Ee-scaffold1817.g2	scaffold1817.g2.t1
Ee-scaffold1817.g3	scaffold1817.g3.t1
Ee-scaffold1817.g4	scaffold1817.g4.t1
Ee-scaffold1817.g5	scaffold1817.g5.t1
Ee-scaffold1817.g6	scaffold1817.g6.t1
Ee-scaffold1817.g7	scaffold1817.g7.t1
Ee-scaffold1817.g8	scaffold1817.g8.t1
Ee-scaffold1817.g8	scaffold1817.g8.t2
Ee-scaffold1817.g8	scaffold1817.g8.t3
Ee-scaffold1817.g8	scaffold1817.g8.t4
Ee-scaffold1817.g9	scaffold1817.g9.t1
Ee-scaffold1817.g10	scaffold1817.g10.t1
Ee-scaffold1817.g11	scaffold1817.g11.t1
Ee-scaffold1817.g12	scaffold1817.g12.t1
Ee-scaffold12376.g1	scaffold12376.g1.t1
Ee-scaffold12376.g1	scaffold12376.g1.t2
Ee-scaffold12376.g1	scaffold12376.g1.t3
Ee-scaffold12376.g2	scaffold12376.g2.t1
Ee-scaffold12376.g3	scaffold12376.g3.t1
Ee-scaffold12376.g3	scaffold12376.g3.t2
Ee-scaffold12376.g3	scaffold12376.g3.t3
Ee-scaffold12376.g4	scaffold12376.g4.t1
Ee-scaffold12376.g5	scaffold12376.g5.t1
Ee-scaffold12376.g6	scaffold12376.g6.t1
Ee-scaffold12376.g7	scaffold12376.g7.t1
Ee-scaffold12376.g7	scaffold12376.g7.t2
Ee-scaffold12376.g7	scaffold12376.g7.t3
Ee-scaffold12376.g7	scaffold12376.g7.t4
Ee-scaffold12376.g8	scaffold12376.g8.t1
Ee-scaffold12376.g9	scaffold12376.g9.t1
Ee-scaffold12376.g10	scaffold12376.g10.t1
Ee-scaffold12376.g11	scaffold12376.g11.t1
Ee-scaffold12376.g12	scaffold12376.g12.t1
Ee-scaffold12376.g12	scaffold12376.g12.t2
Ee-scaffold12376.g13	scaffold12376.g13.t1
Ee-scaffold3004.g1	scaffold3004.g1.t1
Ee-scaffold3004.g2	scaffold3004.g2.t1
Ee-scaffold3004.g3	scaffold3004.g3.t1
Ee-scaffold3004.g3	scaffold3004.g3.t2
Ee-scaffold3004.g4	scaffold3004.g4.t1
Ee-scaffold3004.g4	scaffold3004.g4.t2
Ee-scaffold3004.g5	scaffold3004.g5.t1
Ee-scaffold3004.g6	scaffold3004.g6.t1
Ee-scaffold3004.g6	scaffold3004.g6.t2
Ee-scaffold3004.g7	scaffold3004.g7.t1
Ee-scaffold3004.g8	scaffold3004.g8.t1
Ee-scaffold3004.g9	scaffold3004.g9.t1
Ee-scaffold3004.g9	scaffold3004.g9.t2
Ee-scaffold3004.g9	scaffold3004.g9.t3
Ee-scaffold3004.g10	scaffold3004.g10.t1
Ee-scaffold3004.g11	scaffold3004.g11.t1
Ee-scaffold3004.g11	scaffold3004.g11.t2
Ee-scaffold3004.g12	scaffold3004.g12.t1
Ee-scaffold3004.g12	scaffold3004.g12.t2
Ee-scaffold3004.g13	scaffold3004.g13.t1
Ee-scaffold5023.g1	scaffold5023.g1.t1
Ee-scaffold5023.g2	scaffold5023.g2.t1
Ee-scaffold5023.g3	scaffold5023.g3.t1
Ee-scaffold5023.g4	scaffold5023.g4.t1
Ee-scaffold5023.g5	scaffold5023.g5.t1
Ee-scaffold5023.g6	scaffold5023.g6.t1
Ee-scaffold5023.g7	scaffold5023.g7.t1
Ee-scaffold5023.g8	scaffold5023.g8.t1
Ee-scaffold5023.g9	scaffold5023.g9.t1
Ee-scaffold5023.g10	scaffold5023.g10.t1
Ee-scaffold5023.g11	scaffold5023.g11.t1
Ee-scaffold5023.g12	scaffold5023.g12.t1
Ee-scaffold5023.g12	scaffold5023.g12.t2
Ee-scaffold5023.g12	scaffold5023.g12.t3
Ee-scaffold5023.g13	scaffold5023.g13.t1
Ee-scaffold5023.g13	scaffold5023.g13.t2
Ee-scaffold2062.g1	scaffold2062.g1.t1
Ee-scaffold2062.g2	scaffold2062.g2.t1
Ee-scaffold2062.g2	scaffold2062.g2.t2
Ee-scaffold2062.g3	scaffold2062.g3.t1
Ee-scaffold2062.g4	scaffold2062.g4.t1
Ee-scaffold2062.g5	scaffold2062.g5.t1
Ee-scaffold2062.g6	scaffold2062.g6.t1
Ee-scaffold2062.g7	scaffold2062.g7.t1
Ee-scaffold2062.g8	scaffold2062.g8.t1
Ee-scaffold2062.g9	scaffold2062.g9.t1
Ee-scaffold2062.g10	scaffold2062.g10.t1
Ee-scaffold249.g1	scaffold249.g1.t1
Ee-scaffold249.g2	scaffold249.g2.t1
Ee-scaffold249.g3	scaffold249.g3.t1
Ee-scaffold249.g3	scaffold249.g3.t2
Ee-scaffold249.g3	scaffold249.g3.t3
Ee-scaffold249.g4	scaffold249.g4.t1
Ee-scaffold249.g4	scaffold249.g4.t2
Ee-scaffold249.g5	scaffold249.g5.t1
Ee-scaffold249.g5	scaffold249.g5.t2
Ee-scaffold249.g5	scaffold249.g5.t3
Ee-scaffold249.g5	scaffold249.g5.t4
Ee-scaffold249.g5	scaffold249.g5.t5
Ee-scaffold249.g5	scaffold249.g5.t6
Ee-scaffold249.g6	scaffold249.g6.t1
Ee-scaffold249.g7	scaffold249.g7.t1
Ee-scaffold2650.g1	scaffold2650.g1.t1
Ee-scaffold2650.g2	scaffold2650.g2.t1
Ee-scaffold2650.g3	scaffold2650.g3.t1
Ee-scaffold2650.g4	scaffold2650.g4.t1
Ee-scaffold2650.g4	scaffold2650.g4.t2
Ee-scaffold2650.g5	scaffold2650.g5.t1
Ee-scaffold2650.g6	scaffold2650.g6.t1
Ee-scaffold2650.g6	scaffold2650.g6.t2
Ee-scaffold2650.g7	scaffold2650.g7.t1
Ee-scaffold2650.g8	scaffold2650.g8.t1
Ee-scaffold2650.g9	scaffold2650.g9.t1
Ee-scaffold2650.g10	scaffold2650.g10.t1
Ee-scaffold2650.g11	scaffold2650.g11.t1
Ee-scaffold2650.g12	scaffold2650.g12.t1
Ee-scaffold2650.g13	scaffold2650.g13.t1
Ee-scaffold2650.g14	scaffold2650.g14.t1
Ee-scaffold2650.g15	scaffold2650.g15.t1
Ee-scaffold2650.g15	scaffold2650.g15.t2
Ee-scaffold2650.g16	scaffold2650.g16.t1
Ee-scaffold2650.g16	scaffold2650.g16.t2
Ee-scaffold2650.g17	scaffold2650.g17.t1
Ee-scaffold2650.g18	scaffold2650.g18.t1
Ee-scaffold2650.g19	scaffold2650.g19.t1
Ee-scaffold2650.g20	scaffold2650.g20.t1
Ee-scaffold3567.g1	scaffold3567.g1.t1
Ee-scaffold3567.g2	scaffold3567.g2.t1
Ee-scaffold3567.g3	scaffold3567.g3.t1
Ee-scaffold3567.g4	scaffold3567.g4.t1
Ee-scaffold3567.g5	scaffold3567.g5.t1
Ee-scaffold3567.g6	scaffold3567.g6.t1
Ee-scaffold3567.g6	scaffold3567.g6.t2
Ee-scaffold3567.g6	scaffold3567.g6.t3
Ee-scaffold3567.g7	scaffold3567.g7.t1
Ee-scaffold3567.g8	scaffold3567.g8.t1
Ee-scaffold3567.g9	scaffold3567.g9.t1
Ee-scaffold3567.g10	scaffold3567.g10.t1
Ee-scaffold378.g1	scaffold378.g1.t1
Ee-scaffold378.g2	scaffold378.g2.t1
Ee-scaffold378.g2	scaffold378.g2.t2
Ee-scaffold378.g3	scaffold378.g3.t1
Ee-scaffold378.g4	scaffold378.g4.t1
Ee-scaffold378.g5	scaffold378.g5.t1
Ee-scaffold6345.g2	scaffold6345.g2.t1
Ee-scaffold6345.g3	scaffold6345.g3.t1
Ee-scaffold6345.g4	scaffold6345.g4.t1
Ee-scaffold6345.g5	scaffold6345.g5.t1
Ee-scaffold6345.g6	scaffold6345.g6.t1
Ee-scaffold6345.g7	scaffold6345.g7.t1
Ee-scaffold6345.g8	scaffold6345.g8.t1
Ee-scaffold6345.g9	scaffold6345.g9.t1
Ee-scaffold6345.g9	scaffold6345.g9.t2
Ee-scaffold6345.g10	scaffold6345.g10.t1
Ee-scaffold6345.g11	scaffold6345.g11.t1
Ee-scaffold14298.g1	scaffold14298.g1.t1
Ee-scaffold14298.g2	scaffold14298.g2.t1
Ee-scaffold14298.g3	scaffold14298.g3.t1
Ee-scaffold14298.g4	scaffold14298.g4.t1
Ee-scaffold14298.g5	scaffold14298.g5.t1
Ee-scaffold14298.g6	scaffold14298.g6.t1
Ee-scaffold14298.g7	scaffold14298.g7.t1
Ee-scaffold14298.g7	scaffold14298.g7.t2
Ee-scaffold14298.g7	scaffold14298.g7.t3
Ee-scaffold14298.g7	scaffold14298.g7.t4
Ee-scaffold18179.g1	scaffold18179.g1.t1
Ee-scaffold18179.g2	scaffold18179.g2.t1
Ee-scaffold18179.g3	scaffold18179.g3.t1
Ee-scaffold18179.g3	scaffold18179.g3.t2
Ee-scaffold18179.g4	scaffold18179.g4.t1
Ee-scaffold18179.g5	scaffold18179.g5.t1
Ee-scaffold18179.g6	scaffold18179.g6.t1
Ee-scaffold18179.g6	scaffold18179.g6.t2
Ee-scaffold18179.g6	scaffold18179.g6.t3
Ee-scaffold18179.g7	scaffold18179.g7.t1
Ee-scaffold18179.g8	scaffold18179.g8.t1
Ee-scaffold18179.g9	scaffold18179.g9.t1
Ee-scaffold18179.g10	scaffold18179.g10.t1
Ee-scaffold18179.g11	scaffold18179.g11.t1
Ee-scaffold18179.g12	scaffold18179.g12.t1
Ee-scaffold18179.g12	scaffold18179.g12.t2
